WIN,LOSS
Arizona State: Heaton & Lin,Weber State: Johnston & Johnston
Arizona State: Lin & Soderquist,CSU Fullerton: Perez & Ryals
Arizona State: Lin & Soderquist,CSU Long Beach: Linares & Talavera
Arizona State: Phoenix-Flood & Spencer,Oakton: Karsh & Toro
Arizona State: Phoenix-Flood & Spencer,UT Dallas: Karchmer & Sendejas
Arizona State: Phoenix-Flood & Spencer,Wayne State: Reynolds & Reza Husain
Arizona State: Phoenix-Flood & Spencer,Western Washington: Haindfield & King
Arizona State: Phoenix-Flood & Spencer,Wyoming: Pierson & Powers
Army: Drake & Haynes,Columbia: Weintraub & Winnick
Army: Drake & Haynes,Cornell: Davis & Merrill
Army: Drake & Haynes,CSU Fullerton: Dewhurst & Perez
Army: Drake & Haynes,Liberty: Major & Megill
Army: Duerig & Shatilensko,Houston: Kidd & Padmasolala
Army: Duerig & Shatilensko,NYU: Auquilla & Mittur
Army: Duerig & Shatilensko,Saint Mary's: Barajas & Papageorge
Army: Gopalakrishna & Tsai,New School: Montaudy & Wilson
Army: Gopalakrishna & Tsai,NYU: Berde & Li
Army: Gopalakrishna & Tsai,West Virginia: Urse & West
Army: Haynes & Story,New School: Butler & Lima Boudakian
Army: Haynes & Story,New School: Montaudy & Wilson
Army: Haynes & Story,NYU: Hussain & Pierce
Army: Kopotic & McCabe,Binghamton: Waxman & Zaher
Army: Kopotic & McCabe,Rochester: Emrich & Wang
Army: Kopotic & McCabe,Rochester: Liu & Zubrzycki
Army: MacFarlane & Monahan,Liberty: Dulas & Kerekes
Army: McGee & Reenan,Army: Kopotic & McCabe
Army: McGee & Reenan,Binghamton: Brigante & Reppa
Army: McGee & Reenan,Binghamton: Langsdorf & Wyble
Army: McGee & Reenan,Houston: Russell & Varughese
Army: McGee & Reenan,Rochester: Emrich & Wang
Army: McGee & Reenan,Rochester: Liu & Zubrzycki
Army: McGee & Reenan,West Virginia: Amore. & Mann
Army: McGee & Reenan,West Virginia: Carr & Phillips
Army: McGee & Shatilenko,Binghamton: King & Treulich
Army: McGee & Shatilenko,Cornell: Baskin & Casella
Army: McGee & Shatilenko,Cornell: Lea & Lim
Army: McGee & Shatilenko,New School: Chaturvedi & Kpade
Army: McGee & Shatilenko,Rochester: Edelstein & Ozcayir
Army: McGee & Shatilenko,Rochester: Emrich & Nie
Army: Ntumy & Walker,Binghamton: Hirsh & Stiller
Army: Ntumy & Walker,Binghamton: Schwartz & Ward
Army: Ntumy & Walker,Binghamton: Waxman & Zaher
Army: Opron & Shatilenko,Army: McGee & Reenan
Army: Opron & Shatilenko,Army: McGee & Reenan
Army: Opron & Shatilenko,Binghamton: Langsdorf & Wyble
Army: Opron & Shatilenko,Binghamton: Treulich & Whitefield
Army: Opron & Shatilenko,Boston College: Cheek & Gleason
Army: Opron & Shatilenko,Cornell: Ahmad & Lea
Army: Opron & Shatilenko,George Mason: Alshuhayeb & Rizzoli
Army: Opron & Shatilenko,George Mason: Bhurtel & Fuchs
Army: Opron & Shatilenko,Indiana: Fish & Logan
Army: Opron & Shatilenko,Liberty: Dellinger & Hamilton
Army: Opron & Shatilenko,New School: Butler & Lima Boudakian
